Date,Open,High,Low,Close,Adj Close,Volume
2011-03-25,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-28,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-29,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-30,830.00,830.00,830.00,830.00,808.84,0.00
2011-03-31,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-01,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-04,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-05,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-06,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-07,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-08,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-11,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-12,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-13,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-14,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-15,830.00,830.00,830.00,830.00,808.84,0.00
2011-04-18,800.00,800.00,800.00,800.00,779.60,100.00
2011-04-19,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-20,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-21,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-25,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-26,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-27,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-28,800.00,800.00,800.00,800.00,779.60,0.00
2011-04-29,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-02,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-03,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-04,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-05,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-06,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-09,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-10,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-11,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-12,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-13,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-16,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-17,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-18,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-19,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-20,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-23,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-24,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-25,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-26,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-27,800.00,800.00,800.00,800.00,779.60,0.00
2011-05-31,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-01,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-02,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-03,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-06,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-07,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-08,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-09,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-10,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-13,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-14,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-15,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-16,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-17,800.00,800.00,800.00,800.00,779.60,0.00
2011-06-20,800.00,800.00,800.00,800.00,779.60,0.00
